code,pk_id,like count,post,updatedAt,firtstmatch
B-pvrdygTW6,9702158,4928,"I hope you enjoyed my ‘Creative Distractions’ chat with @suebrycephotographer earlier! I’m excited to have more guests on soon & I am now hosting them twice a week!

I thought I would share what has been inspiring me & getting me motivated over the past few weeks. James & I have been re-organizing our apartment - starting with the living area + bookshelf, equipment room and doing a good old spring clean! Organizing my bookshelf opened up a lot of motivation as it reminded me of the inspiring books I have right in front of my eyes! Some of these haven’t even been opened! (One of my favorite books is ‘The Model As Muse’ by The Met). I’ve also been super inspired by self portraiture (which is what inspired my photography career all those years ago)! I’m nervous to try it again (I would be lying if I wasn’t) because it can be tedious but I haven’t done an actual self portrait with a DSLR for 13 years. My challenge this week is to challenge myself and YOU on here and in my Facebook group to get out there & create! I’d love to see some artsy self portraits utilizing the things you have at home!

I’ve also been inspired to archive my work, organize drives, tax folders & get rid of old clutter. Doing the boring things on the to do list first so I can tackle the fun creative things!

Remember that right now we are not ‘trapped’ at home - this is OUR TIME to create in a safe space! Use this time to re-invent yourself & build your folio while you have the time to do so!",2023-11-18 20:23:33,@suebrycephotographer
B-sg6ZdAdHS,9702158,6820,"Today I got up & had one intention - create a self portrait! It has been 13 years since I created a creative self portrait (selfies don’t count!). I started my career shooting them to hone my skills and build confidence & the technique seems so unfamiliar to me now! 
However today my mind had other plans - it was a slow morning. I didn’t feel like creating. I slept in & I felt exhausted. I think I’ve been going and going over the past few weeks giving myself a million tasks - knowing that stopping my flow could potentially let some negative seep in... but I did it! I pushed through - got ready, did some emails, got my matcha, put on some tunes and just got on with it ! It was a slow process - THAT I do remember. Despite the slow process (which is so different to how I usually shoot!) - it was fun and rewarding. 
I shot this with my @canonusa EOS R & 50mm 1.2 on a tripod and used the ‘Canon Connect App’ to connect to my phone. My phone then acts as a digital viewfinder so I can focus & also see what I’m doing! I then set a 10 second timer after focusing which allowed me to hide the phone & get into position! SWIPE through the images & you’ll see a little recorded video I did from my phone. 
I’d LOVE for you to join me in this challenge! If you create one tag me and add the hashtag #larajadeselfportraitchallenge - I’d love to see!",2023-11-18 20:23:33,@canonusa
B-vWMGkAP7I,9702158,1881,"It has almost been a year since I filmed my online course ‘The Business Of Fashion Photography’ so I thought I would re-share the trailer! 
Creating this course wasn’t an easy task! Breaking down everything business & marketing took months of work. Those that know me know that if I commit to something - I go in 100%! I wanted to create a course that I had never seen created before - a workshop that would answer every question on the business of commercial photography but also help portrait photographers with marketing their work to brands & getting published. 
When I started in the industry around 14 years ago - there was zero guidance. A lot of the time I created blindly. I photographed for me - I didn’t think about the clients that were potentially out there. I didn’t think about how I would fit into the market or how to climb the editorial ladder. I didn’t have a business plan - just a desire to create. It was like a curtain was in front of the questions I wanted answered and every time I would ask.. I would get vague replies. Frustrating to say the least! 
I remember this time last year like it was yesterday - It was a whirlwind few months of gathering content, asking opinions, planning shoots, calls and emails to the @theportraitmasters, lots of coffee & matcha & late nights.. but it was worth it!
It still makes me super happy when someone emails me saying how much the course has helped them! 
What are your business or marketing pain points? Let me know below! Right now is the perfect time to work through business & marketing plans. We might not be able to shoot or pitch to clients but we DO have time to figure out a solid marketing plan, re-work our social media, research editorial clients & restructure our pricing! Future thinking! 
Both of my online courses are 20% off right now (simply use promo code LARA40 on checkout!) www.larajadebusiness.com",2023-11-18 20:23:33,@theportraitmasters
B-zeVNyArbI,9702158,5308,"All dressed up to.. work from home! This has been me this week - but instead of two doggos - one doggo and two cats! A favorite shot from an editorial with @modernluxury last year. 
Will you be joining me in my self portrait challenge this week? I also have a LIVE Creative Distractions going on today at 1pm EDT (NY time) with @oliphantstudio & plenty more coming next week! 
What are your creative plans over the next few weeks? Don’t forget creativity can be a positive distraction during this time! Keep well & keep inspired!",2023-11-18 20:23:33,@modernluxury
B84sDaPAz8H,9702158,4120,"Still a fav beauty moment with the lovely @helenedesmettre. What are you all up to this Sunday? It’s been a catch up weekend for me after a recent work trip to London & getting everything ready for Vegas (WPPI) next week!

Make Up by @misuzumiyake
Hair by @jeaniesyfu
Retouching by @doctorraw_retouching",2023-11-18 20:23:56,@helenedesmettre.
B91xmSFgUQE,9702158,9029,"I already miss set days!
I saw a tweet earlier that said “it kind of feels like that weird time between Christmas and New Year where everything goes!”. It made me laugh. Now I don’t know about you but I’m the first one to be waiting for the first options to come through and ready to go at my computer the first week of January. Time off is good but give me a week and I’m itching to start planning shoots again!
I love what I do. I love collaborating. I love the buzz, the excitement, being busy.. Right now I’m feeling a little deflated with the current virus outbreak & loss of jobs but I’m trying to think positively - I’m going to use this time wisely and start working on things I’ve been putting off for a while. I’m also going to be more communicative via social & thinking of ways to connect with you all via my online groups during this time! We are all in this together! Let’s be kind & encouraging during this time! 
Behind the scenes photos from a recent shoot for @guardianfashion taken by @oscarmay_",2023-11-18 20:23:56,@guardianfashion
B94In3kAfp8,9702158,7290,I still love this session I did with @ninaagdal some months ago. I love the contrast of feminine + strong/raw together.. which is why I’m often toning images black and white - it strips back any distractions and helps focus on the emotion of the image. I’m falling in love with black & white more and more this year and can’t wait to get back into the studio to create more!!,2023-11-18 20:23:56,@ninaagdal
B96t45PAamt,9702158,2277,"In these confusing times it’s important to maintain a level of normalcy. Many of us are cooped up at home and are unsure of how to occupy our time (I know I’m awful at doing this but I’m getting better!). Over the last two days I’ve been able to sit down and finally complete a big project of mine - finishing my education website! 
www.larajadeeducation.com 
I’m now also offering exclusive 1-1 portfolio reviews (that can be found via the link above!). I’ve decided to make them heavily discounted for the first 10 students. I’ve had SO many requests for these in the past but haven’t been able to offer them due to time & work commitments. Let’s get working through your content so that you’re ready to go with your next marketing efforts!

I am now starting to see this time as a place for business growth & awareness as well as community building. We are ALL in this together! Over the next few weeks I’m going to be more active on my social groups & answering your questions, I’m thinking of some new helpful live content for you all (more on that soon)

Take a peek at the website & let me know what you think! Also please let me know if there’s any topics you’d like me to cover in some live videos! 
Let’s keep inspiring each other!",2023-11-18 20:23:56,
B9Fnp3jAwlx,9702158,3876,I still 🖤 this shot of @bhumika_arora04 from a few years back. Shot for a @dior exclusive in @harpers_bazaarkz.,2023-11-18 20:23:56,@bhumika_arora04
B9H8CVVg3Ct,9702158,5317,Outtake from a shoot with @vogue_wedding a while back! The lovely @sibui_nazarenko wearing @daniellefrankelstudio. 🌸,2023-11-18 20:23:56,@vogue_wedding
B9hzDxhgzio,9702158,8023,"The talented Daisy Ridley wearing @gucci for the March Issue of @harpersbazaarmy. That smile!! 🖤

Styling by @FlorrieT
Make Up by @lipstickkelly
Hair by @dayaruci
Nails by @robbietomkins
Retouching by @monica_chamorro
With thanks to @amyyasmine & @narrativepr 
Photo Assistants @oscarmay_ @chris_chudleigh & Clare Chong",2023-11-18 20:23:56,@gucci
B9ISI_fgCUO,9702158,3636,"I had an amazing time at @wppievents this year - it was my first time attending the conference and it was SO good to catch up with so many familiar faces. 
I was part of a business panel with some lovely ladies @lindsayadler_photo and @vanessajoy & also did a main stage talk/demo on the @canonusa stage. 
THANK YOU for showing up and your support! 
I have to say it was also amazing to see so many women involved in a conference - lots of speakers & attendees. When I started there were very few females in the industry and I felt frustrated that there wasn’t anyone representing us / paving the way. In fact I wasn’t even aware I could become successful as a female photographer. Vendors, companies - keep this up! I’d also love to see some more diversity with speakers.. so if you have any favorite photographers who educate, feel free to send my way. I am ALWAYS asked if I know of great speakers and can often make suggestions! 
Photo/Video Credits @ivanavilaphotography @kkpboudi @vlada_art_nyc",2023-11-18 20:23:56,@wppievents
B9LTC8EAMXe,9702158,5682,Just got around to watching ‘Emma’ featuring the inspirational @anyataylorjoy and it brought back a lot of memories from our shoot a few years back! I first saw her in ‘The Witch’ and knew she would go far. Go watch it you can! It’s beautifully shot and warms your heart. 🖤,2023-11-18 20:23:56,@anyataylorjoy
B9mh_XPAnSu,9702158,3959,Love her smile 🖤 The inspiring @itsmartadelcano,2023-11-18 20:23:56,@itsmartadelcano
B9O9cDxAJRt,9702158,3720,I know I’ve shared this shot many times but it remains a favorite in the portfolio! Editorial for @tatlerhongkong a few years ago in the forests of Pennsylvania. A good reminder to plan some location shoots soon!,2023-11-18 20:23:56,@tatlerhongkong
B9orc5Vgfgd,9702158,8976,One of my favorite shoots. The inspiring @gemma_chan for @modernluxury.,2023-11-18 20:23:56,@gemma_chan
B9Rh3_ugaBz,9702158,3318,"I'm so excited to share this one with you all! The incredible Daisy Ridley for @harpersbazaarmy. Ever since watching Daisy in Star Wars a few years ago - I was captivated. She is, as the article says ""A force to be reckoned with.'' Styling by @FlorrieT
Make Up by @lipstickkelly
Hair by @dayaruci
Nails by @robbietomkins
Retouching by @monica_chamorro
With thanks to @amyyasmine & @narrativepr 
Photo Assistants @oscarmay_ @chris_chudleigh & Clare Chong",2023-11-18 20:23:56,@harpersbazaarmy.
B9T_V2AAFec,9702158,5537,"My favorite outtake from the shoot! Loved shooting this with story with actress Daisy Ridley for @harpersbazaarmy. 
Styling by @FlorrieT
Make Up by @lipstickkelly
Hair by @dayaruci
Nails by @robbietomkins
Retouching by @monica_chamorro
With thanks to @amyyasmine & @narrativepr 
Photo Assistants @oscarmay_ @chris_chudleigh & Clare Chong",2023-11-18 20:23:56,@harpersbazaarmy.
B9uKJp9gGUs,9702158,4313,"New editorial for @guardianfashion featuring the lovely @claudia_lavender - wearing @maisonvalentino 🌸 
Styling by @jojones_fashion, Make Up & Hair @catchdina, Retouching @monica_chamorro",2023-11-18 20:23:56,@guardianfashion
B9uLJ1gAFAO,9702158,6354,"New editorial for @guardianfashion featuring the lovely @claudia_lavender 
Styling by @jojones_fashion, Make Up & Hair @catchdina, Retouching @monica_chamorro",2023-11-18 20:23:56,@guardianfashion
B9WgnZ8AV_J,9702158,3932,"One of my favorite shots from a recent editorial story for @harpersbazaarmy featuring actress Daisy Ridley 🌟 
Styling by @FlorrieT
Make Up by @lipstickkelly
Hair by @dayaruci
Nails by @robbietomkins
Retouching by @monica_chamorro
With thanks to @amyyasmine & @narrativepr 
Photo Assistants @oscarmay_ @chris_chudleigh & Clare Chong",2023-11-18 20:23:56,@harpersbazaarmy
B9zRBxbgWat,9702158,2972,"New editorial for @guardianfashion featuring the lovely @claudia_lavender 
Styling by @jojones_fashion, Make Up & Hair @catchdina, Retouching @monica_chamorro",2023-11-18 20:23:56,@guardianfashion
B-aObNognHG,9702158,1781,"Photographers who follow me (including those who have never commented!) 😉 I want to hear from you all! What do you have planned over the next few weeks? How are you staying inspired? Those that have my online courses - where are you at? Do you have any questions on what you’re working through? 
During this uncertain time - I’m here for you! I have plenty of time to to answer your questions here on the my Instagram (as well as my online facebook groups) and I’m cooking up some inspiring ideas for future lives & content that will be available for all of you! I’m open to your suggestions also - what do you want to see/hear from me?

GET 20% OFF OF MY ONLINE COURSES

I want to help you stay productive, so as well as the ideas I have above (more on that soon), I want to give you all 20% off both of my online courses using code LARA40. 
https://theportraitmasters.com/lara-jade-store/

There have been MANY requests for me to do this and while I was hesitant at first to push a sale right now - I realize business still has go on and this is the best time to invest in yourself and your business. I also have a lot of time on my hands to answer your questions & help as you’re working through the courses!  Stay well & inspired! - Lara Jade",2023-11-18 20:23:56,
B-FzbdSAZ4A,9702158,2884,"Photographers! What are you spending your time working on?

Over the last few days I’ve been reviewing photographers portfolios & branding via my new folio feedback service! I’ve wanted to do this for a long time but never had the time to do so. It’s been inspiring reviewing work & chatting to photographers over the phone! 
I find it helpful to start my day as I would in a normal work week - getting fully dressed & starting my to do list! I’m getting so much done. It’s also a good distraction from what’s going on in the world! 
It’s important to keep pushing forward in business - although it’s a little different to what we are used to.. and of course enjoy the downtime when you can. I’ve been able to catch up on my Netflix watch list & enjoy cooking!

Here are some creative and business ideas to help fill your time... - Start a content plan for social media flatlays are EASY to do! Plan a creative shoot, a self portrait, tell a story, share some old work.
- Shoot your new bio photo - even if it's a self portrait! SO many of you don't have photos of yourselves on your websites or social and this is super important!
- Learn a new photo or retouching technique! How many of you have my online courses but haven't had time to watch the content (or had time to watch all sections!)? Now is the time!
- Start researching clients you could be reaching out to and make a plan of attack for when the industry is running again!
- FaceTime or video call fellow creatives & share ideas! I’ve just discovered the Houseparty app and it’s so much fun! I highly recommend it.. Stay motivated, keep up the productivity & have fun while doing it!

Photo of me by @aperture7photo during fun times at WPPI in Vegas a month ago!",2023-11-18 20:23:56,@aperture7photo
B-IBXDiAfRM,9702158,5508,"Over the past two years I’ve been exploring another side of the photography realm - beauty and jewelry photography. Which are your favorite shots in the set? 
I never thought I’d enjoy the process as much as I do and I now find on every shoot (beauty or not) I’m drawn to capturing the face. Give me a beauty moment over a full length shot any day! I always welcome change in my work because ultimately we are always on a journey as artists. What I photographed at at the beginning of my journey is incredibly different to what I do now and I’m sure in 10-20 years from now I’ll be saying the same thing. 
If you feel connected with your work and you are shooting what you love - change will always happen. Now is the perfect time to experiment and find a new love with your photography! Try new things - a new lighting technique that you are scared of, a whole new area of photography, brush up on those retouching skills, try something different with posing!
Stay safe & well during this time and above all - stay inspired. 🖤",2023-11-18 20:23:56,
B-KS-fhgWUO,9702158,4112,"It’s not often you see photo gear related posts from me! I’m not the type of photographer to boast about gear as I don’t want people to think it’s gear (and having the most expensive gear) that’s stopping them from creating. Skilled photographers should be able to create with any gear - hands up if you remember my ‘cheap camera challenge’ video with DigitalRev a few years ago?! 🖐

I started photography as a teenager with hardly any money in my pocket. My early work was shot using point & shoot cameras - just as digital photography was on the rise. I was proud of every little camera I owned and I used each one to the point of breaking! My first DSLR was a Canon 350D and my 50mm lens had an ongoing issue which meant it could only be manually focused. I got so used to it and never wanted to send it in for repair! I also couldn’t afford to! 
So many photographers ask what gear I use & I wanted to share what’s in my current gear bag. Since I have a lot of time on my hands I thought I’d create some content that would give you more of an insight into the creative side of my business - more of it coming soon!

In the industry I am in there is a level of importance to have gear that fits my clients requests - this is why I own a few bodies & a variety of lenses. Fashion & beauty work demand different techniques. 
Let me talk you through the gear - scroll to the next image to associate numbers with list below! For those that want to know my most used lens - I’d say it would be the 85mm 1.2! 
1. Canon EOS R body + 28-70mm f/2.0 lens
2. Canon 50mm f/1.2 lens - EOS R fit
3. Canon 5D MKIV body
4. Canon 100mm f/2.8 Macro Lens 
5. Canon 50mm f/1.2 Lens
6. Canon 24-70mm f/2.8 Lens
7. Canon 5D MKIV body (back up cam) + Canon 85mm f/1.2 Lens

Hope you guys find this info helpful!",2023-11-18 20:23:56,
B-XysKAAAgs,9702158,1830,"Is your magazine pile taking over your apartment? 
Or do you wish you had a place to archive all of your featured work (or work that you are proud of)? I wish I had started doing this years ago! I’ve been using the ‘downtime’ over the last few weeks to add to my tear sheet archive & organize my work into folders. 
It doesn’t matter whether you’re just starting to get your work published or you’ve been feature in many online / print mags! Now is the time to start your own archive! You can also use these folios in your portrait studio to showcase your work or features! This is not a sponsored post - just a helpful insight into how I archive my work! 
I purchased both the folders + sleeves from Amazon (US), you can search for the products below. I hope this inspires you to start archiving your own work! ▪️Folio Binder - Itoya RB1114 Multi-Ring Binder 11x14 inch
▪️Sleeves - Itoya Polyglass Multi-Ring Binder Refill pages 11x14 inch",2023-11-18 20:23:56,
B8bM3Z_A5CR,9702158,6597,Still a favorite in the folio! The always inspiring @blancapadilla @nextmodels for @harpers_bazaarkz. Team are tagged 🖤,2023-11-18 20:24:17,@blancapadilla
B8bXpQ7AMgF,9702158,4887,"Desert rose @marine_deleeuw ☀️ wearing @alexandermcqueen for @mojeh_magazine 
Styling by @connie_berg
Make Up by @deborahaltiziomakeup
Hair by @yukikotajima
Manicurist @kana_nailist
Retouching @monica_chamorro",2023-11-18 20:24:17,@marine_deleeuw
B8GvILPgzGt,9702158,5175,"A smile that could light up any room 🌟The lovely @officialadeng 
Styling by @connie_berg
Make Up by @williamrmurphy
Hair by @yoichiny
Retouching by @studiodigitalspot",2023-11-18 20:24:17,@officialadeng
B8hoac7ARtY,9702158,3579,"Special project with the inspiring @nourgal @theindustryny 💫 
Styling by @laura_pritch
Make Up by @deborahaltiziomakeup
Hair by @michaelthomaslollo
Retouching by @studiodigitalspot",2023-11-18 20:24:17,@nourgal
B8jLE8LgWIE,9702158,6589,"Special project with the inspiring @nourgal @theindustryny 💫 
Styling by @laura_pritch
Make Up by @deborahaltiziomakeup
Hair by @michaelthomaslollo
Retouching by @studiodigitalspot",2023-11-18 20:24:17,@nourgal
B8L_WcKguld,9702158,5659,Collaboration with @daniellefrankelstudio a few years ago featuring model @lixiaoxing_li @womenmanagementny. Continuing to share some of my favorite black and white images from the last couple of years! (Side note - I wish this wasn’t cropped - Instagram allow us to show our full shots!),2023-11-18 20:24:17,@daniellefrankelstudio
B8lnxiPAoXs,9702158,3649,"Couldn’t resist sharing some more of these! What a fun day in my studio. I love creative days like this - it keeps me inspired and producing content! I would encourage you all to take time out of your schedule a few times a month to create for YOU. It nourishes the creative soul.

Model @nourgal @theindustryny 
Styling by @laura_pritch
Make Up by @deborahaltiziomakeup
Hair by @michaelthomaslollo
Retouching by @studiodigitalspot 
Dress by @daniellefrankelstudio

Shot with my new Canon EOS R @canonusa",2023-11-18 20:24:17,@nourgal
B8ogfhEACew,9702158,4335,"Happy Sunday! The storm has finally passed here in England (I’m staying with family for a couple of days in my hometown) and I’m excited to share news of my upcoming cover story with you! For now I wanted to share some of my latest work with this amazing team!

Model @nourgal @theindustryny 
Styling by @laura_pritch
Make Up by @deborahaltiziomakeup
Hair by @michaelthomaslollo
Retouching by @studiodigitalspot 
Jacket by @daniellefrankelstudio

Shot with my new Canon EOS R @canonusa",2023-11-18 20:24:17,@nourgal
B8Oh_JAAa9M,9702158,4822,"The magic @anyataylorjoy photographed a while back for @rollacoaster. This shot still remains to be one of my favorite black and white portraits! 
What are your February plans? I’m heading to London early next week for a cover shoot & then preparing for WPPI at the end of the month (more news on that soon!)",2023-11-18 20:24:17,@anyataylorjoy
B8syjjjA_dk,9702158,6225,"Still love this beauty shoot with @yoonmi.sun @womenmanagementny.

Styling by @kristeningersoll 
Hair by @linhhair 
Make Up by @hollygowers 
Retouching by @solsticeretouch",2023-11-18 20:24:17,@yoonmi.sun
B8vkOYRA4vM,9702158,4549,"I’m headed back to NY today after a productive week in England! I can’t wait to share what I got up to here!
Heres another favorite shot from my recent shoot with @nourgal @theindustryny. 
Styling by @laura_pritch
Make Up by @deborahaltiziomakeup
Hair by @michaelthomaslollo
Retouching by @studiodigitalspot",2023-11-18 20:24:17,@nourgal
B8Y79xYAC5d,9702158,2929,"Brightening up your feed today with this image from a recent shoot for @mojeh_magazine. Due to the changing light (and unreliability of natural light) this shoot was done using several different lighting methods. From natural light and a pop of strobe for fill, to recreating sunlight in this image with continuous light. This year my goal is to push myself out of my comfort zone a little. Why? Comfortability is the enemy of innovation. 
The wonderful creative team are tagged in the image.",2023-11-18 20:24:17,@mojeh_magazine.
B65ujuBAgmf,9702158,7663,"Still can’t stop sharing these! The inspiring @missscampbell @heroesmodels 
Styling / Creative by @connie_berg 
On set styling @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:24:38,@missscampbell
B68WnHkgLIH,9702158,3215,"The wonderful @officialadeng photographed in my studio a few months ago! With Styling by @connie_berg, Make Up by @williamrmurphy, Hair by @yoichiny & Retouching by @studiodigitalspot 🖤",2023-11-18 20:24:38,@officialadeng
B6v0Pxrg_hL,9702158,6809,"Happy New Year to all of my friends, clients & collaborators and all of YOU out there who continue you support & follow my work & journey! Here’s to a new decade of creative projects & adventures! 
Photo from a shoot late 2018 with @saradijkink - I’ve loved exploring more simple emotive portraits over the past two years & want to continue creating more iconic style imagery in 2020 as well as focusing on personal shoots. 
What are your new year goals?",2023-11-18 20:24:38,@saradijkink
B7_Fck_gsOA,9702158,4126,"New work 🌟 for the Feb issue of @mojeh_magazine featuring the inspiring @marine_deleeuw 
Styling by @connie_berg 
Make Up by @deborahaltiziomakeup 
Hair by @yukikotajima 
Manicurist @kana_nailist 
Retouching by @monica_chamorro
Assistants @jmax313 @hunterarthurm",2023-11-18 20:24:38,@mojeh_magazine
B723W9KA_7K,9702158,7614,"Portrait of @ninaagdal 💕 Styling by @seppetirabassi, Make Up by @rommynajor, Hair by @riadazar9, Retouching by @solsticeretouch",2023-11-18 20:24:38,@ninaagdal
B74BYAVA78s,9702158,8600,Beautiful @blancapadilla and all of the diamonds 💎 Flashback to one of my favorite cover shoots for @harpers_bazaarkz.,2023-11-18 20:24:38,@blancapadilla
B78mnNzAWW2,9702158,3702,"New work 🌟 for the Feb issue of @mojeh_magazine featuring the inspiring @marine_deleeuw 
Styling by @connie_berg 
Make Up by @deborahaltiziomakeup 
Hair by @yukikotajima 
Manicurist @kana_nailist 
Retouching by @monica_chamorro
Assistants @jmax313 @hunterarthurm",2023-11-18 20:24:38,@mojeh_magazine
B7EhxhLA06m,9702158,3047,The inspiring @dalianaharekion for @intermixonline. Thanks for having me Intermix! 🌸,2023-11-18 20:24:38,@dalianaharekion
B7O2wXmgBan,9702158,5976,"I am very much looking forward to hosting in-person workshops again this year! I’ll be hosting these events in NY in March and London in May. NY only has a few seats left! www.larajadeworkshops.com

These two day workshops are packed with hands-on content including lighting demonstrations, shooting bays, posing advice, business advice & marketing techniques & image reviews. This year I’ll be hosting the events at two of my favorite studios in NY & London

I am looking forward to seeing a few of you there!",2023-11-18 20:24:38,
B7shg0WAR17,9702158,8139,Beauty @jasminendaniels for @glamour_sa. I couldn’t decide between black and white or color so here’s both. Loved this shoot & team (tagged!),2023-11-18 20:24:38,@jasminendaniels
B7TXTmtgngK,9702158,4841,Still love this shoot from 2018 for @bazaaruk featuring @cartier 💎,2023-11-18 20:24:38,@bazaaruk
B8EMuguAqIH,9702158,3044,"New work 🌟 for the Feb issue of @mojeh_magazine featuring the inspiring @marine_deleeuw 
Styling by @connie_berg 
Make Up by @deborahaltiziomakeup 
Hair by @yukikotajima 
Manicurist @kana_nailist 
Retouching by @monica_chamorro
Assistants @jmax313 @hunterarthurm",2023-11-18 20:24:38,@mojeh_magazine
B52ybcMgrE7,9702158,4795,"New work with the inspiring @missscampbell @heroesmodels 💫 shot in my studio in NY 
Styling / Creative by @connie_berg 
Styling Assistant / On set styling by @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:25:08,@missscampbell
B55NgGxA1on,9702158,5388,"Loved this shoot! The inspiring @missscampbell @heroesmodels 
Styling / Creative by @connie_berg 
On set styling @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:25:08,@missscampbell
B57z8_Lg6WQ,9702158,10776,"New shoot with the lovely @missscampbell @heroesmodels 💚

Styling / Creative by @connie_berg 
On set styling @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:25:08,@missscampbell
B6aygXOAo9M,9702158,5546,"Westworld inspired shoot for @glamour_sa featuring @jasminendaniels! 
Styling by @seppetirabassi 
Make Up by @deborahaltiziomakeup
Hair by @yukikotajima
Retouching by @solsticeretouch",2023-11-18 20:25:08,@glamour_sa
B6BB2tlACy9,9702158,8834,"Can’t stop sharing these! The inspiring @missscampbell @heroesmodels 
Styling / Creative by @connie_berg 
On set styling @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:25:08,@missscampbell
B6dWN-CAsTP,9702158,3424,"The inspiring @zoeebarnard @imgmodels 💫 for @mojeh_magazine 
Styling by @connie_berg
Make Up by @williamrmurphy
Hair by @yukikotajima
Manicurist @yukie_miyakawa_nails
Retouching @studiodigitalspot",2023-11-18 20:25:08,@zoeebarnard
B6G1AHWgGiB,9702158,5579,"Another favorite from my shoot with @missscampbell 🖤 @heroesmodels 
Styling / Creative by @connie_berg 
On set styling @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:25:08,@missscampbell
B6ItMN5gvFe,9702158,5060,Beauty @blancapadilla @nextmodels for @harpers_bazaarkz 🖤,2023-11-18 20:25:08,@blancapadilla
B6l0ytaguXv,9702158,2941,"Photographers! What are your business goals for 2020? 🖊 Now is the time to kickstart your plan - with the biggest online course sale of the year

Get $60 off both of my online photography courses (link in bio). Offer ends 12/31!",2023-11-18 20:25:08,
B6OaFM4A_yN,9702158,4279,"That face @missscampbell @heroesmodels 🖤 loved shooting this series 
Styling / Creative by @connie_berg 
On set styling @yasminekenawi
Make Up by @caitlinwooters 
Hair by @thisisclay 
Retouching by @monica_chamorro",2023-11-18 20:25:08,@missscampbell
B6Qv3xDgwYP,9702158,11783,"2019 ⚡️ you have been an incredible year creatively. I feel like I’ve been able to push my creative vision more this year & in turn work with some incredible clients! A big thank you to all of my clients this year & to all of you out there who follow & support my work here. I have been ‘online’ sharing my work for around 16 years now (the days of DeviantART and Flickr!) and I know quite a few of you have followed me from the beginning - so THANK YOU
Not forgetting the teams & models who have helped me create my imagery - the models, stylists, hair stylists, makeup artists, manicurists, assistants, producers, retouching teams - you have all been a huge part in my success & I always enjoy the creation process with you. You make this industry FUN and remind me that we are not saving lives. We are in this to be creative & not take ourselves too seriously

I wanted to feature a few favorite photoshoot moments of 2019. It’s hard to pick #10 but here are a few that stand out to me
1. @blancapadilla for @harpers_bazaarkz
2. @dagaziober for @modernluxury
3. Portrait of @officialadeng
4. @olaszwalek for @vogue_wedding
5. Actress @gemma_chan for @modernluxury
6. @sibui_nazarenko for @vogue_wedding
7. Portrait of @aliana.king
8. @kathie.lam for @mojeh_magazine
9. Actress @lucyboynton1 for @harpersbazaarmy
10. Portrait of @korayafay",2023-11-18 20:25:08,@blancapadilla
B6tcSXmAfDF,9702158,6267,"The beautiful @jasminendaniels for  @glamour_sa 
Styling by @seppetirabassi
Make Up by @deborahaltiziomakeup
Hair by @yukikotajima
Retouching by @solsticeretouch",2023-11-18 20:25:08,@jasminendaniels
B5aQoA-gMoQ,9702158,3901,"New work for @vogue_wedding (outtake) featuring model @olaszwalek. Shot on the most beautiful day in Paris! 
Editor @nakamura_mayumi
Styling by @rena_semba
Make Up by @deborahaltiziomakeup
Hair by @sandrinegarcia_mua_hair
Manicurist @audreycheri
Retouching by @studiodigitalspot
Production by @portrait_madame",2023-11-18 20:25:36,@vogue_wedding
B5dKPbLguZV,9702158,1400,"Photographers! What are your business goals for 2020? 🖊 Expanding your clientele? Creating more brand awareness? Getting more publications? Having a better social media strategy? Let’s have this conversation below 
Today is the day! Take advantage of the 30% off BF sale with my online courses!",2023-11-18 20:25:36,
B5dyDnFgABd,9702158,5657,"A few truths here today! When I started my business back in 2007 on a shoestring budget I had to figure out everything business related from scratch. There were no courses on the business of photography & there seemed to be a secret veil around that side of the industry. I didn’t have any mentors or anyone to reach out to for advice. It was frustrating to say the least. It took me years of trial & error to learn how to best reach out to people, who to reach out to (within a brand) to pitch my ideas, how to run a production professionally, how to get my work published

Once I figured out a successful business marketing plan a few years ago, my career started to flourish and I started getting the clients I always wanted, shoot the work I was most inspired by and in turn - get repeat work

These are all things I cover in my course so that you can get it right early on or make those changes to help better your success in this industry! What’s more - I’ve also created several beautiful customizable templates - called the photographer’s production pack - inc call sheet templates, production checklist & equipment lists

I know the business side of the industry can feel secretive and frustrating (let’s be honest!). All the leg work is done to set the foundation right so that you can get straight to business & start putting everything into practice. 
Believe me, setting a foundation early on makes opportunities happen faster - enabling you to grow your business quicker! You owe it to yourself to get paid for all of the hard work you do. You’ve done the creative work, now it’s time to be a better photographer in business

Photo by @kristieleephotographer",2023-11-18 20:25:36,@kristieleephotographer
B5fk87LgLiU,9702158,6304,I love when I go through the archives and find a few gems! This is an outtake from a shoot for @modernluxury featuring @dagaziober. Anyone that knows me knows how much I love animals so this was my dream day 🖤,2023-11-18 20:25:36,@modernluxury
